model,time_day,dataset,batching_type,batching_round_to_64,batch_size,computing_type,iteration,experiment_completed,submission_path,path,recompilation_counter,step_100000_train_rmse,step_100000_val_rmse,step_100000_test_rmse,step_100000_batching_time_mean,step_100000_update_time_mean,step_100000_batching_time_median,step_100000_update_time_median
painn,00_33_35__07_04_2025,qm9,dynamic,False,128,cpu,2,True,/u/dansp/painn_profiling/painn_256_latent_size_100k_cpu_27_3_2025/profiling_experiments/painn/qm9/dynamic/round_False/128/cpu/iteration_2/profiling_job.sh,/u/dansp/painn_profiling/painn_256_latent_size_100k_cpu_27_3_2025/profiling_experiments/painn/qm9/dynamic/round_False/128/cpu/iteration_2/profiling_job.sh,1,nan,nan,nan,0.004545076394081116,0.7428160861444473,0.0044519901275634766,0.7391355037689209
painn,00_33_35__07_04_2025,qm9,dynamic,False,128,cpu,1,True,/u/dansp/painn_profiling/painn_256_latent_size_100k_cpu_27_3_2025/profiling_experiments/painn/qm9/dynamic/round_False/128/cpu/iteration_1/profiling_job.sh,/u/dansp/painn_profiling/painn_256_latent_size_100k_cpu_27_3_2025/profiling_experiments/painn/qm9/dynamic/round_False/128/cpu/iteration_1/profiling_job.sh,1,nan,nan,nan,0.004353379755020142,0.7440151429796219,0.004060506820678711,0.7404574155807495
painn,00_33_35__07_04_2025,qm9,dynamic,False,128,cpu,5,True,/u/dansp/painn_profiling/painn_256_latent_size_100k_cpu_27_3_2025/profiling_experiments/painn/qm9/dynamic/round_False/128/cpu/iteration_5/profiling_job.sh,/u/dansp/painn_profiling/painn_256_latent_size_100k_cpu_27_3_2025/profiling_experiments/painn/qm9/dynamic/round_False/128/cpu/iteration_5/profiling_job.sh,1,nan,nan,nan,0.0044427383780479435,0.7467129800486565,0.004380941390991211,0.7429900169372559
painn,00_33_35__07_04_2025,qm9,dynamic,False,128,cpu,0,True,/u/dansp/painn_profiling/painn_256_latent_size_100k_cpu_27_3_2025/profiling_experiments/painn/qm9/dynamic/round_False/128/cpu/iteration_0/profiling_job.sh,/u/dansp/painn_profiling/painn_256_latent_size_100k_cpu_27_3_2025/profiling_experiments/painn/qm9/dynamic/round_False/128/cpu/iteration_0/profiling_job.sh,1,nan,nan,nan,0.0043030214977264405,0.7412762937784195,0.0042607784271240234,0.7378671169281006
painn,00_33_35__07_04_2025,qm9,dynamic,False,128,cpu,8,True,/u/dansp/painn_profiling/painn_256_latent_size_100k_cpu_27_3_2025/profiling_experiments/painn/qm9/dynamic/round_False/128/cpu/iteration_8/profiling_job.sh,/u/dansp/painn_profiling/painn_256_latent_size_100k_cpu_27_3_2025/profiling_experiments/painn/qm9/dynamic/round_False/128/cpu/iteration_8/profiling_job.sh,1,nan,nan,nan,0.004522934002876282,0.7417633401203155,0.004446268081665039,0.7381821870803833
painn,00_33_35__07_04_2025,qm9,dynamic,False,128,cpu,9,True,/u/dansp/painn_profiling/painn_256_latent_size_100k_cpu_27_3_2025/profiling_experiments/painn/qm9/dynamic/round_False/128/cpu/iteration_9/profiling_job.sh,/u/dansp/painn_profiling/painn_256_latent_size_100k_cpu_27_3_2025/profiling_experiments/painn/qm9/dynamic/round_False/128/cpu/iteration_9/profiling_job.sh,1,nan,nan,nan,0.004765720911026001,0.7424338911986351,0.004639863967895508,0.7390550374984741
painn,00_33_35__07_04_2025,qm9,dynamic,False,128,cpu,4,True,/u/dansp/painn_profiling/painn_256_latent_size_100k_cpu_27_3_2025/profiling_experiments/painn/qm9/dynamic/round_False/128/cpu/iteration_4/profiling_job.sh,/u/dansp/painn_profiling/painn_256_latent_size_100k_cpu_27_3_2025/profiling_experiments/painn/qm9/dynamic/round_False/128/cpu/iteration_4/profiling_job.sh,1,nan,nan,nan,0.004252279782295227,0.7475702875041962,0.0042629241943359375,0.7439020872116089
painn,00_33_35__07_04_2025,qm9,dynamic,False,128,cpu,7,True,/u/dansp/painn_profiling/painn_256_latent_size_100k_cpu_27_3_2025/profiling_experiments/painn/qm9/dynamic/round_False/128/cpu/iteration_7/profiling_job.sh,/u/dansp/painn_profiling/painn_256_latent_size_100k_cpu_27_3_2025/profiling_experiments/painn/qm9/dynamic/round_False/128/cpu/iteration_7/profiling_job.sh,1,nan,nan,nan,0.004044059569835663,0.7412182427930832,0.003940105438232422,0.7377656698226929
painn,00_33_35__07_04_2025,qm9,dynamic,False,128,cpu,6,True,/u/dansp/painn_profiling/painn_256_latent_size_100k_cpu_27_3_2025/profiling_experiments/painn/qm9/dynamic/round_False/128/cpu/iteration_6/profiling_job.sh,/u/dansp/painn_profiling/painn_256_latent_size_100k_cpu_27_3_2025/profiling_experiments/painn/qm9/dynamic/round_False/128/cpu/iteration_6/profiling_job.sh,1,nan,nan,nan,0.003922548577785492,0.7436884469175339,0.003722548484802246,0.7398890256881714
painn,00_33_35__07_04_2025,qm9,dynamic,False,128,cpu,3,True,/u/dansp/painn_profiling/painn_256_latent_size_100k_cpu_27_3_2025/profiling_experiments/painn/qm9/dynamic/round_False/128/cpu/iteration_3/profiling_job.sh,/u/dansp/painn_profiling/painn_256_latent_size_100k_cpu_27_3_2025/profiling_experiments/painn/qm9/dynamic/round_False/128/cpu/iteration_3/profiling_job.sh,1,nan,nan,nan,0.004005787823200226,0.7436268611669541,0.0037320852279663086,0.7400233745574951
painn,00_33_35__07_04_2025,qm9,dynamic,False,16,cpu,2,True,/u/dansp/painn_profiling/painn_256_latent_size_100k_cpu_27_3_2025/profiling_experiments/painn/qm9/dynamic/round_False/16/cpu/iteration_2/profiling_job.sh,/u/dansp/painn_profiling/painn_256_latent_size_100k_cpu_27_3_2025/profiling_experiments/painn/qm9/dynamic/round_False/16/cpu/iteration_2/profiling_job.sh,1,nan,nan,nan,0.0012593850064277648,0.08463215147733688,0.0012364387512207031,0.08446133136749268
painn,00_33_35__07_04_2025,qm9,dynamic,False,16,cpu,1,True,/u/dansp/painn_profiling/painn_256_latent_size_100k_cpu_27_3_2025/profiling_experiments/painn/qm9/dynamic/round_False/16/cpu/iteration_1/profiling_job.sh,/u/dansp/painn_profiling/painn_256_latent_size_100k_cpu_27_3_2025/profiling_experiments/painn/qm9/dynamic/round_False/16/cpu/iteration_1/profiling_job.sh,1,nan,nan,nan,0.0013655679273605348,0.08376675491571427,0.001332998275756836,0.08359384536743164
painn,00_33_35__07_04_2025,qm9,dynamic,False,16,cpu,5,True,/u/dansp/painn_profiling/painn_256_latent_size_100k_cpu_27_3_2025/profiling_experiments/painn/qm9/dynamic/round_False/16/cpu/iteration_5/profiling_job.sh,/u/dansp/painn_profiling/painn_256_latent_size_100k_cpu_27_3_2025/profiling_experiments/painn/qm9/dynamic/round_False/16/cpu/iteration_5/profiling_job.sh,1,nan,nan,nan,0.0012718052101135253,0.08417998344898224,0.0012507438659667969,0.08401608467102051
painn,00_33_35__07_04_2025,qm9,dynamic,False,16,cpu,0,True,/u/dansp/painn_profiling/painn_256_latent_size_100k_cpu_27_3_2025/profiling_experiments/painn/qm9/dynamic/round_False/16/cpu/iteration_0/profiling_job.sh,/u/dansp/painn_profiling/painn_256_latent_size_100k_cpu_27_3_2025/profiling_experiments/painn/qm9/dynamic/round_False/16/cpu/iteration_0/profiling_job.sh,1,nan,nan,nan,0.0013339947581291198,0.08365694739103317,0.0013055801391601562,0.08347868919372559
painn,00_33_35__07_04_2025,qm9,dynamic,False,16,cpu,8,True,/u/dansp/painn_profiling/painn_256_latent_size_100k_cpu_27_3_2025/profiling_experiments/painn/qm9/dynamic/round_False/16/cpu/iteration_8/profiling_job.sh,/u/dansp/painn_profiling/painn_256_latent_size_100k_cpu_27_3_2025/profiling_experiments/painn/qm9/dynamic/round_False/16/cpu/iteration_8/profiling_job.sh,1,nan,nan,nan,0.0012030904340744018,0.08481345916986466,0.0011775493621826172,0.08462893962860107
painn,00_33_35__07_04_2025,qm9,dynamic,False,16,cpu,9,True,/u/dansp/painn_profiling/painn_256_latent_size_100k_cpu_27_3_2025/profiling_experiments/painn/qm9/dynamic/round_False/16/cpu/iteration_9/profiling_job.sh,/u/dansp/painn_profiling/painn_256_latent_size_100k_cpu_27_3_2025/profiling_experiments/painn/qm9/dynamic/round_False/16/cpu/iteration_9/profiling_job.sh,1,nan,nan,nan,0.0012532492113113403,0.0837420760679245,0.0012249946594238281,0.08356904983520508
painn,00_33_35__07_04_2025,qm9,dynamic,False,16,cpu,4,True,/u/dansp/painn_profiling/painn_256_latent_size_100k_cpu_27_3_2025/profiling_experiments/painn/qm9/dynamic/round_False/16/cpu/iteration_4/profiling_job.sh,/u/dansp/painn_profiling/painn_256_latent_size_100k_cpu_27_3_2025/profiling_experiments/painn/qm9/dynamic/round_False/16/cpu/iteration_4/profiling_job.sh,1,nan,nan,nan,0.001269205024242401,0.08365203164100647,0.0012466907501220703,0.0834951400756836
painn,00_33_35__07_04_2025,qm9,dynamic,False,16,cpu,7,True,/u/dansp/painn_profiling/painn_256_latent_size_100k_cpu_27_3_2025/profiling_experiments/painn/qm9/dynamic/round_False/16/cpu/iteration_7/profiling_job.sh,/u/dansp/painn_profiling/painn_256_latent_size_100k_cpu_27_3_2025/profiling_experiments/painn/qm9/dynamic/round_False/16/cpu/iteration_7/profiling_job.sh,1,nan,nan,nan,0.0011842329144477843,0.08492297956943512,0.0011601448059082031,0.08473062515258789
painn,00_33_35__07_04_2025,qm9,dynamic,False,16,cpu,6,True,/u/dansp/painn_profiling/painn_256_latent_size_100k_cpu_27_3_2025/profiling_experiments/painn/qm9/dynamic/round_False/16/cpu/iteration_6/profiling_job.sh,/u/dansp/painn_profiling/painn_256_latent_size_100k_cpu_27_3_2025/profiling_experiments/painn/qm9/dynamic/round_False/16/cpu/iteration_6/profiling_job.sh,1,nan,nan,nan,0.0012394245886802673,0.08446596040487289,0.001216888427734375,0.08426642417907715
painn,00_33_35__07_04_2025,qm9,dynamic,False,16,cpu,3,True,/u/dansp/painn_profiling/painn_256_latent_size_100k_cpu_27_3_2025/profiling_experiments/painn/qm9/dynamic/round_False/16/cpu/iteration_3/profiling_job.sh,/u/dansp/painn_profiling/painn_256_latent_size_100k_cpu_27_3_2025/profiling_experiments/painn/qm9/dynamic/round_False/16/cpu/iteration_3/profiling_job.sh,1,nan,nan,nan,0.001286263380050659,0.0838261662197113,0.001262664794921875,0.08364462852478027
painn,00_33_35__07_04_2025,qm9,dynamic,False,64,cpu,2,True,/u/dansp/painn_profiling/painn_256_latent_size_100k_cpu_27_3_2025/profiling_experiments/painn/qm9/dynamic/round_False/64/cpu/iteration_2/profiling_job.sh,/u/dansp/painn_profiling/painn_256_latent_size_100k_cpu_27_3_2025/profiling_experiments/painn/qm9/dynamic/round_False/64/cpu/iteration_2/profiling_job.sh,1,nan,nan,nan,0.0030166636466979983,0.3550775694298744,0.0029196739196777344,0.35415446758270264
